model,accuracy,f1_macro,f1_weighted,rocauc,prauc,brier
logreg,0.5438388895209922,0.5072704865078245,0.562068000341898,0.523427542685916,0.3497029982990891,0.2516524407267142
rf,0.6943508931619068,0.45585435094768945,0.6042816473951521,0.5321406650234403,0.34421659762901907,0.2125777464465262
gb,0.6769655250881783,0.4833590702731022,0.6136107401990626,0.5159326173560623,0.33826085776965836,0.22426290375190186
catboost,0.66416733037509,0.48308457942640065,0.6091205918464712,0.509638956205942,0.32930840972695863,0.23973359579175174
xgb,0.6577900405810293,0.5001243926354232,0.6156780632384588,0.5046567952249771,0.3278032245356456,0.2514051282552492
lgbm,0.6418041491258012,0.49666618316477523,0.6079594945719781,0.5085049400360405,0.3232906565713746,0.2790176402667962
