iter	Logloss
0	0.6779994512
1	0.667650396
2	0.6585493498
3	0.6489065481
4	0.6372464138
5	0.6300781449
6	0.6203375886
7	0.6141687176
8	0.6052616842
9	0.5994716248
10	0.5933788773
11	0.5883771495
12	0.5824309276
13	0.5761332762
14	0.5717377211
15	0.5660707676
16	0.5606218979
17	0.557497587
18	0.5532614169
19	0.5492204013
20	0.5455248079
21	0.541496523
22	0.5364045847
23	0.5339300312
24	0.529917289
25	0.5267348499
26	0.5241689503
27	0.5224000913
28	0.518525204
29	0.5140119742
30	0.5119091606
31	0.5101511858
32	0.5047739961
33	0.5034051645
34	0.5010957815
35	0.4992624459
36	0.4971065016
37	0.4954315366
38	0.4928691996
39	0.4914454649
40	0.4892699696
41	0.487474615
42	0.4859771659
43	0.4837252354
44	0.4820143911
45	0.4805845254
46	0.4786193893
47	0.4775973863
48	0.4749660967
49	0.4727349196
50	0.4704541586
51	0.4677449388
52	0.4667565283
53	0.465207115
54	0.4644114082
55	0.4632885129
56	0.462183559
57	0.4596950766
58	0.458415246
59	0.4566884334
60	0.4549225822
61	0.4537275942
62	0.4516078225
63	0.4505907238
64	0.4481294545
65	0.4440190068
66	0.4427825632
67	0.4420427236
68	0.4387166884
69	0.4368161118
70	0.4363423807
71	0.4346765262
72	0.4332020426
73	0.4328095917
74	0.4325527311
75	0.4308812768
76	0.4304245082
77	0.4299295028
78	0.4280290247
79	0.427140744
80	0.4243846719
81	0.4229942354
82	0.4222559342
83	0.4213689569
84	0.4198111202
85	0.4175276092
86	0.4166437834
87	0.413890209
88	0.4117146028
89	0.4105789255
90	0.4081952951
91	0.4070257482
92	0.4054798349
93	0.4044771197
94	0.4022707354
95	0.4009760132
96	0.4002017705
97	0.3979442141
98	0.3976353587
99	0.3953585291
100	0.3935971342
101	0.39127047
102	0.3904109839
103	0.3877179146
104	0.3861712198
105	0.3845516215
106	0.3827243454
107	0.3818275621
108	0.3807492473
109	0.3779492257
110	0.3764237418
111	0.3759034562
112	0.3746651971
113	0.3730780754
114	0.3717755739
115	0.3699901074
116	0.3680616905
117	0.366281892
118	0.3658550498
119	0.3649661631
120	0.3639840772
121	0.3623458696
122	0.3612383885
123	0.3606223233
124	0.3604360085
125	0.3602031584
126	0.3583563948
127	0.3577573516
128	0.3571221279
129	0.3561483811
130	0.353293866
131	0.351544724
132	0.3513061566
133	0.3509256502
134	0.3494645771
135	0.348077622
136	0.3468789364
137	0.3466699239
138	0.3464936265
139	0.3461332058
140	0.3457414219
141	0.3442998368
142	0.3439427446
143	0.3429955987
144	0.3424400446
145	0.341995771
146	0.3416944306
147	0.3413127845
148	0.3399815783
149	0.3382099771
150	0.3366230415
151	0.3350473184
152	0.3346653735
153	0.3334413869
154	0.3331039889
155	0.3327192829
156	0.3323276238
157	0.3319287444
158	0.3315128961
159	0.3311336352
160	0.3307425898
161	0.3303453007
162	0.3299632905
163	0.3296379819
164	0.3292765062
165	0.3289692833
166	0.3286029526
167	0.3269544175
168	0.3254849497
169	0.3251600914
170	0.3247898515
171	0.3244216735
172	0.3240597269
173	0.3236758442
174	0.3218680457
175	0.3215058331
176	0.3211565687
177	0.3207838366
178	0.3204288284
179	0.3185517996
180	0.3181933945
181	0.3178448455
182	0.3174918425
183	0.3158719813
184	0.3155203598
185	0.3151690266
186	0.3148333499
187	0.3144933874
188	0.3141487567
189	0.3138098946
190	0.3134715179
191	0.311732675
192	0.3113978375
193	0.3093977414
194	0.307692495
195	0.3073601058
196	0.3070284716
197	0.3067018548
198	0.3063816823
199	0.3060534211
200	0.3057324417
201	0.3054147686
202	0.3050991768
203	0.3047872281
204	0.3036406449
205	0.3033259612
206	0.3030136175
207	0.3027057605
208	0.3023951732
209	0.3020892275
210	0.301785354
211	0.3014800476
212	0.3011784878
213	0.3008750045
214	0.3005757904
215	0.2993877629
216	0.2991059864
217	0.2966882438
218	0.295167619
219	0.2948705356
220	0.2945775315
221	0.2942989203
222	0.2926816193
223	0.2923862758
224	0.2920964347
225	0.2918077572
226	0.2915205418
227	0.2912358211
228	0.2909527579
229	0.2906707224
230	0.2903916316
231	0.2890886655
232	0.2888086882
233	0.2875076052
234	0.2872258723
235	0.2869481891
236	0.2866711736
237	0.2848704469
238	0.2845923876
239	0.2843186495
240	0.2828058588
241	0.2819073248
242	0.2816299551
243	0.2813564487
244	0.2810844888
245	0.279046307
246	0.2787744978
247	0.2785054525
248	0.2766996044
249	0.2764312584
250	0.2761741011
251	0.2759097642
252	0.2749940085
253	0.2747286558
254	0.2736884933
255	0.272076894
256	0.2718127256
257	0.2715502476
258	0.2701339097
259	0.2690209205
260	0.2687549582
261	0.2671323459
262	0.2668700016
263	0.266610964
264	0.2663530339
265	0.2645369301
266	0.264289341
267	0.2640344429
268	0.2637822153
269	0.2635316641
270	0.2632830821
271	0.2630356491
272	0.2627890528
273	0.262543038
274	0.262298544
275	0.2620555848
276	0.2607586991
277	0.2605149851
278	0.2595943876
279	0.2593522405
280	0.2591125777
281	0.258874245
282	0.2586372936
283	0.2574881682
284	0.2572591827
285	0.2570228522
286	0.2554741548
287	0.2540755194
288	0.2538369051
289	0.2529273401
290	0.2526922559
291	0.2524596866
292	0.2511207196
293	0.250888509
294	0.2506586562
295	0.2504292752
296	0.2502014193
297	0.2499747369
298	0.2497488775
299	0.2495258068
300	0.2493037032
301	0.2490982046
302	0.2488777652
303	0.2475241784
304	0.2473034848
305	0.2462027084
306	0.24598161
307	0.2457633118
308	0.24554641
309	0.2444453747
310	0.2442291069
311	0.2440145499
312	0.2438005827
313	0.2422162635
314	0.242002874
315	0.2417995727
316	0.241589021
317	0.2413796636
318	0.2402141805
319	0.2400045161
320	0.2397965925
321	0.2395899789
322	0.2375033884
323	0.2372949694
324	0.2370900373
325	0.2368946056
326	0.2366937369
327	0.2354340548
328	0.235231667
329	0.2342294431
330	0.2330037623
331	0.2313737286
332	0.2310917801
333	0.2308934835
334	0.2307046746
335	0.230509949
336	0.2303156183
337	0.2301228639
338	0.2291286128
339	0.228221794
340	0.2270995436
341	0.2269058453
342	0.2267149799
343	0.2265258036
344	0.2256755194
345	0.2254867083
346	0.2252985378
347	0.2245097273
348	0.2243231198
349	0.2241438747
350	0.2239586994
351	0.2237739997
352	0.2235976446
353	0.2234156891
354	0.2221483057
355	0.2219729401
356	0.2206670105
357	0.2204853501
358	0.2193849059
359	0.2182127178
360	0.2170501961
361	0.2158716389
362	0.2156892276
363	0.2145728165
364	0.2143922626
365	0.2142157387
366	0.2130338961
367	0.211619478
368	0.2114519166
369	0.2112781292
370	0.2105167391
371	0.2103428923
372	0.2101706925
373	0.2100002936
374	0.2098314028
375	0.2096717992
376	0.209504956
377	0.208574504
378	0.207824895
379	0.2076651289
380	0.2075000224
381	0.2069081744
382	0.2054558749
383	0.2052904413
384	0.2044069811
385	0.2042418718
386	0.204078463
387	0.203916056
388	0.2037545541
389	0.2035944098
390	0.2034348299
391	0.2032760669
392	0.2031178705
393	0.2029601771
394	0.202809639
395	0.2026537677
396	0.2014856731
397	0.2013342853
398	0.2011789636
399	0.2000363687
