model,accuracy,f1_macro,f1_weighted,rocauc,prauc,brier
gb,0.7078947368421054,0.46212546043201047,0.6113683802418073,0.5404817515759884,0.36912669381183105,0.20721730476717115
xgb,0.6614035087719298,0.5092565629205886,0.6213204605288642,0.5365893881703852,0.3431516564544269,0.2453496152746821
rf,0.7039473684210528,0.4214618420598416,0.5873869720499376,0.5292531886885469,0.3393719075838714,0.21376702002367454
lgbm,0.644298245614035,0.5065769483234508,0.6134424110470269,0.5202021775386262,0.3309432776309447,0.27135760774902223
catboost,0.6842105263157894,0.45421066540805577,0.5995225305037973,0.5171340612773635,0.32630605193793577,0.2268435127631153
logreg,0.6048245614035087,0.49583145870890516,0.591623882233355,0.4995699203876775,0.32439215177570374,0.23725178596644309
