iter	Logloss
0	0.6814230837
1	0.6691674047
2	0.6592209955
3	0.6491650359
4	0.6387785805
5	0.6311358702
6	0.6237921292
7	0.6155146
8	0.6070789876
9	0.6002915341
10	0.5950237073
11	0.5885865376
12	0.5835156187
13	0.578242039
14	0.5742706897
15	0.5708335285
16	0.5674440426
17	0.5633448482
18	0.5595120216
19	0.5571790792
20	0.5531451279
21	0.549827238
22	0.5455322872
23	0.5400773057
24	0.5369401021
25	0.5342327104
26	0.5315432381
27	0.5283456652
28	0.5245174677
29	0.5208021519
30	0.5186633195
31	0.5177017359
32	0.5157031587
33	0.5128242017
34	0.5114484741
35	0.5091063169
36	0.5044985018
37	0.502084328
38	0.5003681959
39	0.4977460511
40	0.4945714321
41	0.4922765018
42	0.4892471286
43	0.4889674406
44	0.4873644098
45	0.4854570398
46	0.4840665229
47	0.4811260912
48	0.4780887618
49	0.4758395643
50	0.473401427
51	0.4719255273
52	0.4700660919
53	0.4684364758
54	0.4676277151
55	0.4654155763
56	0.4632220032
57	0.461882065
58	0.4593457867
59	0.4582192293
60	0.4567313638
61	0.4551802667
62	0.4530257324
63	0.4504742995
64	0.448843617
65	0.4458891128
66	0.443704257
67	0.441566147
68	0.4403685663
69	0.4387769126
70	0.4365058457
71	0.4351124299
72	0.4334521844
73	0.4316130457
74	0.4289641207
75	0.426579601
76	0.4250874512
77	0.4238031845
78	0.4223881044
79	0.4200525
80	0.4180992938
81	0.4157438145
82	0.4136891904
83	0.4126762138
84	0.4117604112
85	0.4094813561
86	0.4078210889
87	0.4066954351
88	0.4056383258
89	0.4046233391
90	0.4018891928
91	0.4005540583
92	0.3984074895
93	0.3963425459
94	0.3952643073
95	0.3934126933
96	0.3917704774
97	0.3894428944
98	0.3881072544
99	0.3866971065
100	0.385469989
101	0.383665592
102	0.3822126152
103	0.380024018
104	0.3775498578
105	0.374867313
106	0.3733295022
107	0.3721668436
108	0.3713121944
109	0.370076027
110	0.3685932098
111	0.3667587314
112	0.3657953893
113	0.3633497076
114	0.361879183
115	0.3606587313
116	0.3586134325
117	0.3569591493
118	0.3561770374
119	0.3551413385
120	0.3537162127
121	0.3528670099
122	0.3516660794
123	0.3503384311
124	0.3493438649
125	0.3481567362
126	0.3467151056
127	0.3452224241
128	0.3438412043
129	0.342226118
130	0.34161097
131	0.3403095948
132	0.3389812105
133	0.3380921989
134	0.3366509415
135	0.3351458175
136	0.333627747
137	0.332429776
138	0.331289233
139	0.3296373772
140	0.3287616952
141	0.3280614715
142	0.3265490407
143	0.3254743876
144	0.3251027995
145	0.3232977696
146	0.3225835682
147	0.3208145291
148	0.3205375284
149	0.3192446805
150	0.3179475614
151	0.3169294222
152	0.3150078308
153	0.3138471712
154	0.3122104543
155	0.3110426419
156	0.3098109735
157	0.3092652058
158	0.30829155
159	0.307009344
160	0.3065299909
161	0.3051029563
162	0.3044179839
163	0.303343696
164	0.3019616935
165	0.300428661
166	0.2999391665
167	0.2984154033
168	0.2976309458
169	0.2964638482
170	0.2952474793
171	0.2939403185
172	0.2926395769
173	0.2908434199
174	0.2900019405
175	0.289216985
176	0.2879595292
177	0.2863476114
178	0.2843760554
179	0.2836591086
180	0.2825729836
181	0.2813883865
182	0.2799782082
183	0.2790847416
184	0.2776724082
185	0.277075521
186	0.276008177
187	0.274932089
188	0.2741811175
189	0.2730775376
190	0.2717637967
191	0.2713214458
192	0.2708629817
193	0.2694127803
194	0.2683941612
195	0.2664880213
196	0.2647544837
197	0.2635467553
198	0.2620413309
199	0.2605579039
200	0.2594050039
201	0.2583469239
202	0.2566819055
203	0.2557055077
204	0.254883999
205	0.2545381221
206	0.2544818465
207	0.2530406232
208	0.2521481695
209	0.2513196482
210	0.2510373218
211	0.2492851245
212	0.2476431359
213	0.2471349204
214	0.2454415725
215	0.2447168486
216	0.2436743802
217	0.2428525949
218	0.2417699644
219	0.2409167649
220	0.2396708464
221	0.2380283713
222	0.2371203119
223	0.2360702523
224	0.2348233242
225	0.2336745785
226	0.2322185701
227	0.2311835861
228	0.2306486151
229	0.2295381388
230	0.2284429292
231	0.2277794623
232	0.2269629561
233	0.2267612922
234	0.225543569
235	0.2253237949
236	0.2250257436
237	0.2249364576
238	0.2249030539
239	0.2235689445
240	0.2228627129
241	0.2218289533
242	0.2210267353
243	0.2204239945
244	0.2196646754
245	0.2196034527
246	0.219117504
247	0.2182935073
248	0.2170664282
249	0.2166853046
250	0.2158382496
251	0.2150641608
252	0.2143921612
253	0.2132609906
254	0.2122225112
255	0.2114355859
256	0.2108515477
257	0.2100504648
258	0.2090562337
259	0.2079199603
260	0.2068116233
261	0.2058643253
262	0.2058267106
263	0.2050894495
264	0.2047181827
265	0.2037084917
266	0.2027358013
267	0.2020628163
268	0.2016705151
269	0.2007005077
270	0.1996208867
271	0.1990075305
272	0.1980087739
273	0.197417381
274	0.1967820855
275	0.1958794729
276	0.1948222462
277	0.1939162067
278	0.1926329526
279	0.1916829022
280	0.1907180139
281	0.190050932
282	0.1895046857
283	0.1887996884
284	0.1880729593
285	0.1872637737
286	0.1863819126
287	0.1858005254
288	0.1852707494
289	0.1842168156
290	0.1836312408
291	0.1826829171
292	0.1825787573
293	0.1819814203
294	0.1816239148
295	0.1808633275
296	0.1802080851
297	0.1793107641
298	0.1788673664
299	0.1783058517
300	0.1775770522
301	0.1767347858
302	0.1765027654
303	0.1759242912
304	0.1753987294
305	0.1748668656
306	0.1739433357
307	0.1730153294
308	0.1718988507
309	0.1710618718
310	0.1710297324
311	0.1710059567
312	0.1706246911
313	0.1700185476
314	0.1696937755
315	0.1691077822
316	0.1686273805
317	0.1679985519
318	0.1671921005
319	0.1663747889
320	0.1655687991
321	0.1643991011
322	0.163904096
323	0.1629279681
324	0.1621093983
325	0.161309109
326	0.1607974396
327	0.1601411379
328	0.159688646
329	0.1595505667
330	0.1591751725
331	0.159073244
332	0.1585093959
333	0.157716401
334	0.1576388107
335	0.1569583854
336	0.1561941887
337	0.1560057481
338	0.1555922786
339	0.1551332812
340	0.1544861121
341	0.1536151732
342	0.1527329415
343	0.1519735936
344	0.1515523266
345	0.1509550766
346	0.1505188313
347	0.1498420339
348	0.1491387514
349	0.148637332
350	0.1478606521
351	0.1473453496
352	0.1467127662
353	0.1462579138
354	0.1454071163
355	0.1448234753
356	0.1439927176
357	0.1436891229
358	0.1430073916
359	0.1421679345
360	0.1417914998
361	0.1410938795
362	0.1406297847
363	0.1398905272
364	0.1390906527
365	0.1386925138
366	0.1382283972
367	0.1378538318
368	0.137225396
369	0.1365166693
370	0.1359048488
371	0.1358758804
372	0.1350868714
373	0.1346223426
374	0.1340645838
375	0.1339569151
376	0.1335216798
377	0.1332172943
378	0.1328825839
379	0.1323202026
380	0.1315832643
381	0.1314404113
382	0.1311020591
383	0.1305356518
384	0.1302416843
385	0.129906732
386	0.1292145356
387	0.1287795542
388	0.1287165534
389	0.1281891453
390	0.1275174831
391	0.1274201881
392	0.1270231782
393	0.1262977998
394	0.1257054941
395	0.1253019205
396	0.1250076169
397	0.1247388899
398	0.1243666035
399	0.1239194666
